ReqID,TestId,RunID,RunStatus,RunCycle,RegWt,ModuleQuality,ModuleCriticality
6,18378,185917,1,1,2,2,2
6,18378,193466,1,2,4,2,2
6,18378,200016,1,3,8,2,2
6,18378,206018,0,4,0,2,2
6,18378,211375,0,5,0,2,2
6,18378,215414,0,6,0,2,2
6,18378,226553,0,7,0,2,2
6,18379,184728,0,1,0,2,2
6,18379,190376,0,2,0,2,2
6,18379,197197,0,3,0,2,2
6,18379,205995,0,4,0,2,2
6,18379,211370,0,5,0,2,2
6,18379,215408,0,6,0,2,2
6,18379,226548,0,7,0,2,2
6,18380,184733,0,1,0,2,2
6,18380,190382,0,2,0,2,2
6,18380,197203,0,3,0,2,2
6,18380,206021,0,4,0,2,2
6,18380,210419,0,5,0,2,2
6,18380,215417,0,6,0,2,2
6,18380,226556,0,7,0,2,2
6,18381,184727,0,1,0,2,2
6,18381,190375,0,2,0,2,2
6,18381,197196,0,3,0,2,2
6,18381,205994,0,4,0,2,2
6,18381,211369,0,5,0,2,2
6,18381,215407,0,6,0,2,2
6,18381,226547,0,7,0,2,2
6,18382,184731,0,1,0,2,2
6,18382,190379,0,2,0,2,2
6,18382,197200,0,3,0,2,2
6,18382,206017,0,4,0,2,2
6,18382,211374,0,5,0,2,2
6,18382,215413,0,6,0,2,2
6,18382,226552,0,7,0,2,2
21,18385,184750,0,1,0,1,3
21,18385,190412,0,2,0,1,3
21,18385,197220,0,3,0,1,3
21,18385,206027,0,4,0,1,3
21,18386,184794,0,1,0,1,3
21,18386,194493,0,2,0,1,3
21,18386,197223,0,3,0,1,3
21,18386,204147,0,4,0,1,3
21,18387,184752,0,1,0,1,3
21,18387,190414,0,2,0,1,3
21,18387,198746,0,3,0,1,3
21,18387,206029,0,4,0,1,3
21,18388,187197,0,1,0,1,3
21,18388,193475,0,2,0,1,3
21,18388,200177,0,3,0,1,3
21,18388,206025,0,4,0,1,3
21,18389,184751,0,1,0,1,3
21,18389,190413,0,2,0,1,3
21,18389,198745,0,3,0,1,3
21,18389,206028,0,4,0,1,3
21,18390,184748,0,1,0,1,3
21,18390,190410,0,2,0,1,3
